key,number,type,title,shortTitle,state,position,duration,loop,muted,volume,balance,solo,audiobusses,meterF1,meterF2,gainDb,selectedIndex
5bc83741-7ccf-42a0-b797-1a37f7062a0d,1,Audio,PULPIT,PULPIT,Running,0,0,False,True,100,0,False,M,0.006919791,0.006919791,9,
67d88822-ba92-4eeb-8e91-223a6de295ca,2,Audio,CHOIR LFT,CHOIR LFT,Running,0,0,False,True,100,0,False,M,0.004266622,0.004266622,6,
1775a29a-787b-4539-ab82-e0883a7925ee,3,Audio,CHOIR RT,CHOIR RT,Running,0,0,False,True,100,0,False,M,0.00631323,0.00631323,2,
5b4add1b-12ce-4873-a0c6-cebdcdbff579,4,Audio,JANEANE,JANEANE,Running,0,0,False,False,43.04672,0,False,M,0.0001473787,0.0001473787,0,
fabdc81a-f0b6-440e-a349-29c0bf93a3d7,5,Audio,AUD PIANO 1,AUD PIANO 1,Running,0,0,False,False,100,0,False,M,0.0006046801,0.0006046801,3.000003,
9b7ea3fb-9a41-453d-b289-c59b2a8dc43d,6,Audio,AUD PIANO 2,AUD PIANO 2,Running,0,0,False,False,100,0,False,M,0.0005599078,0.0005599078,5.999999,
4b04a8b4-cf55-43ff-8027-4085fabe6ac4,7,Audio,Audio in 9,Audio in 9,Running,0,0,False,True,40.96,0,False,M,7.044864E-05,7.044864E-05,13,
c351ec2e-40b6-46ec-b2ed-d76c311134a9,8,Audio,Audio In 10,Audio In 10,Running,0,0,False,True,100,0,False,M,0.0001117253,0.0001117253,14,
7dbaed68-e093-4dd1-a069-d8bf5645346f,9,Audio,Audio In 11,Audio In 11,Running,0,0,False,True,100,0,False,M,8.989526E-05,8.989526E-05,1.999997,
c4ada8ac-88f4-4bef-8f93-59930a5bcbf0,10,Audio,Audio In 14,Audio In 14,Running,0,0,False,True,100,0,False,M,0.0007060766,0.0007060766,0,
c9adb27a-1762-46ab-aa57-c59b5bca0d0b,11,Audio,Audio CABLE-A Output,Audio CABLE-A Output,Running,0,0,False,True,100,0,False,M,0,0,0,
531282b2-705f-4f01-93de-97928ef125d6,12,Capture,camera 1,camera 1,Running,0,0,False,,,,,,,,,
0d0a63d6-e1e9-4033-89f1-3cb39e755567,13,Virtual,PTZ - 1 WIDE,1 WIDE,Paused,0,0,False,,,,,,,,,
04165030-0543-40b7-b612-5b802f041dca,14,Virtual,PTZ - 1 SPLIT SCREEN LEFT,1 SPLIT SCREEN LEFT,Paused,0,0,False,,,,,,,,,
d0dc7ed5-acbc-4bec-ab16-ee29f58a4a29,15,Virtual,PTZ - 1 CLOSE PULPIT,1 CLOSE PULPIT,Paused,0,0,False,,,,,,,,,
3a138504-a02d-4876-8e14-135928cb000e,16,Virtual,PTZ - 1 RIGHT,1 RIGHT,Paused,0,0,False,,,,,,,,,
